X,order,family,common_name,Binomial,rts,exp.testes,testes_g,log.testes.,ref_testes,BM_g,log.bm.,ref_bm,litter_size,litter_year,longevity,ref_lifehistory,mating_system,ref_mating_system,paternal_care,ref_paternal_care
1,Rodentia,Muridae,Papuan Abeomelomys,Abeomelomys_sevia,1.418624379,0.601991628,0.854,-0.069,Breed 2000,52,1.716,Breed 2000,1,NA,NA,Capellini 2015,NA,,NA,
2,Chiroptera,Pteropodidae,Golden-capped Fruit Bat,Acerodon_jubatus,1.031853732,3.150543435,3.2509,0.512,Pitnick 2006,518,2.714,Pitnick 2006,1,1,NA,Capellini 2015,NA,,NA,NA
3,Carnivora,Felidae,Cheetah,Acinonyx_jubatus,0.14326187,76.71336439,10.9901,1.041,Iossa 2008,43652,4.64,Iossa 2008,3.28,0.65,20.5,Capellini 2015,promiscuous,Iossa 2008; Soulsbury 2010,no,Heldstab 2019; Lukas 2019
4,Rodentia,Muridae,Northeast African Spiny Mouse,Acomys_cahirinus,0.596482991,0.375534598,0.224,-0.291,Breed 2000,27,1.878,Breed 2000,2.43,7.6,5.9,Capellini 2015,promiscuous,Sinervo 2020,no,Heldstab 2019; Lukas 2019
5,Rodentia,Muridae,Northeast African Spiny Mouse,Acomys_cahirinus,0.646787453,0.791140889,0.5117,-0.291,Ramm 2005,76,1.878,Ramm 2005,2.43,7.6,5.9,Capellini 2015,promiscuous,Sinervo 2020,no,Heldstab 2019; Lukas 2019
6,Diprotodontia,Acrobatidae,Feather-tailed Glider,Acrobates_pygmaeus,0.848893514,0.209449121,0.1778,-0.75,Birkhead 1998,12,1.09,Birkhead 1998,2.8,2,8.8,Capellini 2015,promiscuous,Pantheria,no,Lukas 2019
7,Artiodactyla,Bovidae,Addax,Addax_nasomaculatus,0.348379068,123.8647896,43.1519,1.635,Anderson 2004,84918,4.929,Anderson 2004,1,0.99,28,Capellini 2015,promiscuous,Anderson 2004,no,Heldstab 2019
8,Artiodactyla,Bovidae,Impala,Aepyceros_melampus,0.308838859,93.59832534,28.9068,1.461,Anderson 2004,57544,4.76,Anderson 2004,0.98,0.95,25.6,Capellini 2015,promiscuous,Anderson 2004; Ginsberg 1990,no,Heldstab 2019; Lukas 2019
9,Artiodactyla,Bovidae,Impala,Aepyceros_melampus,1.2080352,99.33485378,120,1.461,Gage 2003,62500,4.76,Gage 2003,0.98,0.95,25.6,Capellini 2015,promiscuous,Anderson 2004; Ginsberg 1990,no,Heldstab 2019; Lukas 2019
10,Diprotodontia,Potoroidae,Rufous Rat-kangaroo,Aepyprymnus_rufescens,0.492396195,9.499261054,4.6774,0.67,Birkhead 1998,2399,3.38,Birkhead 1998,1.03,3,12.8,Capellini 2015,NA,,NA,NA
11,Rodentia,Muridae,Red Veld Aethomys,Aethomys_chrysophilus,1.005211839,0.857530688,0.862,-0.064,Breed 2000,85,1.929,Breed 2000,3.09,NA,0.75,Capellini 2015; Myrhvold et al 2015,monogamous,Lukas 2012; Lukas 2013,NA,
12,Rodentia,Muridae,Hinde's Aethomys,Aethomys_hindei,2.21950483,1.247125018,2.768,NA,Breed 2000,143,NA,Breed 2000,2.05,NA,1.75,Capellini 2015; Myrhvold et al 2015,NA,NA,NA,
13,Rodentia,Muridae,Tete Veld Aethomys,Aethomys_ineptus,0.586208709,1.228231496,0.72,-0.143,Breed 2000,140,2.146,Breed 2000,3.345,2,0.75,Capellini 2015; Chimimba & Linzey 2008; Myrhvold et al 2015,NA,,NA,
