,Binomial,species
1,Abeomelomys_sevia,Abeomelomys sevia
2,Acomys_cahirinus,Acomys cahirinus
3,Aepyceros_melampus,Aepyceros melampus
4,Aethomys_chrysophilus,Aethomys chrysophilus
5,Aethomys_hindei,Aethomys hindei
6,Aethomys_ineptus,Aethomys ineptus
7,Alcelaphus_buselaphus,Alcelaphus buselaphus
8,Alces_alces,Alces alces
9,Ammospermophilus_leucurus,Ammospermophilus leucurus
10,Anisomys_imitator,Anisomys imitator
11,Antrozous_pallidus,Antrozous pallidus
12,Apodemus_agrarius,Apodemus agrarius
13,Apodemus_argenteus,Apodemus argenteus
14,Apodemus_flavicollis,Apodemus flavicollis
15,Apodemus_semotus,Apodemus semotus
16,Apodemus_speciosus,Apodemus speciosus
17,Apodemus_sylvaticus,Apodemus sylvaticus
18,Apodemus_uralensis,Apodemus uralensis
19,Atlantoxerus getulus,Atlantoxerus getulus
20,Bandicota_bengalensis,Bandicota bengalensis
21,Bandicota_indica,Bandicota indica
22,Bandicota_savilei,Bandicota savilei
23,Batomys_salomonseni,Batomys salomonseni
24,Berylmys_bowersi,Berylmys bowersi
25,Bos_taurus,Bos taurus
26,Bullimus_bagobus,Bullimus bagobus
27,Bunomys_chrysocomus,Bunomys chrysocomus
28,Bunomys_fratrorum,Bunomys fratrorum
29,Callithrix_jacchus,Callithrix jacchus
30,Callorhinus_ursinus,Callorhinus ursinus
31,Canis_latrans,Canis latrans
32,Capreolus_capreolus,Capreolus capreolus
33,Cavia_aperea,Cavia aperea
34,Cavia_porcellus,Cavia porcellus
35,Cebus_apella,Cebus apella
36,Cervus_elaphus,Cervus elaphus
37,Chalinolobus_gouldii,Chalinolobus gouldii
38,Chinchilla_lanigera,Chinchilla lanigera
39,Chiropodomys_gliroides,Chiropodomys gliroides
40,Chiruromys_vates,Chiruromys vates
41,Chlorocebus_aethiops,Chlorocebus aethiops
42,Conilurus_penicillatus,Conilurus penicillatus
43,Connochaetes_taurinus,Connochaetes taurinus
44,Corynorhinus_rafinesquii,Corynorhinus rafinesquii
45,Crocidura_russula,Crocidura russula
46,Crocuta_crocuta,Crocuta crocuta
47,Cryptomys_hottentotus,Cryptomys hottentotus
48,Ctenomys_talarum,Ctenomys talarum
49,Cynictis_penicillata,Cynictis penicillata
50,Cynomys_ludovicianus,Cynomys ludovicianus
51,Cynomys_parvidens,Cynomys parvidens
52,Dama_dama,Dama dama
53,Damaliscus_pygargus,Damaliscus pygargus
54,Dasymys_incomtus,Dasymys incomtus
55,Elephas_maximus,Elephas maximus
56,Equus_caballus,Equus caballus
57,Equus_grevyi,Equus grevyi
58,Erinaceus_europaeus,Erinaceus europaeus
59,Erythrocebus_patas,Erythrocebus patas
60,Felis_catus,Felis catus
61,Funambulus_palmarum,Funambulus palmarum
62,Funisciurus_congicus,Funisciurus congicus
63,Giraffa_camelopardalis,Giraffa camelopardalis
64,Gorilla_gorilla,Gorilla gorilla
65,Grammomys_macmillani,Grammomys macmillani
66,Gulo_gulo,Gulo gulo
67,Helogale_parvula,Helogale parvula
68,Hippopotamus_amphibius,Hippopotamus amphibius
69,Homo_sapiens,Homo sapiens
70,Hydromys_chrysogaster,Hydromys chrysogaster
71,Hylobates_lar,Hylobates lar
72,Hyomys_goliath,Hyomys goliath
73,Leggadina_forresti,Leggadina forresti
74,Leopoldamys_sabanus,Leopoldamys sabanus
75,Leporillus_conditor,Leporillus conditor
76,Leptomys_elegans,Leptomys elegans
77,Lepus_americanus,Lepus americanus
78,Lophuromys_flavopunctatus,Lophuromys flavopunctatus
79,Lorentzimys_nouhuysi,Lorentzimys nouhuysi
80,Loxodonta_africana,Loxodonta africana
81,Macaca_arctoides,Macaca arctoides
82,Macaca_fascicularis,Macaca fascicularis
83,Macaca_fuscata,Macaca fuscata
84,Macaca_mulatta,Macaca mulatta
85,Macaca_nemestrina,Macaca nemestrina
86,Mallomys_rothschildi,Mallomys rothschildi
87,Mammelomys_lanosus,Mammelomys lanosus
88,Marmota_monax,Marmota monax
89,Mastacomys_fuscus,Mastacomys fuscus
90,Mastomys_coucha,Mastomys coucha
91,Mastomys_natalensis,Mastomys natalensis
92,Maxomys_bartelsii,Maxomys bartelsii
93,Maxomys_surifer,Maxomys surifer
94,Maxomys_whiteheadi,Maxomys whiteheadi
95,Megaptera_novaeangliae,Megaptera novaeangliae
96,Meles_meles,Meles meles
97,Melomys_burtoni,Melomys burtoni
98,Melomys_cervinipes,Melomys cervinipes
99,Melomys_leucogaster,Melomys leucogaster
100,Melomys_rufescens,Melomys rufescens
101,Mesembriomys_gouldii,Mesembriomys gouldii
102,Mesembriomys_macrurus,Mesembriomys macrurus
103,Mesocricetus_auratus,Mesocricetus auratus
104,Microcebus_murinus,Microcebus murinus
105,Micromys_minutus,Micromys minutus
106,Microtus_agrestis,Microtus agrestis
107,Microtus_oeconomus,Microtus oeconomus
108,Microtus_pennsylvanicus,Microtus pennsylvanicus
109,Millardia_meltada,Millardia meltada
110,Mus_caroli,Mus caroli
111,Mus_minutoides,Mus minutoides
112,Mus_musculus,Mus musculus
113,Mustela_erminea,Mustela erminea
114,Myodes_glareolus,Myodes glareolus
115,Myodes_rufocanus,Myodes rufocanus
116,Myotis_lucifugus,Myotis lucifugus
117,Neotoma_micropus,Neotoma micropus
118,Niviventer_cremoriventer,Niviventer cremoriventer
119,Niviventer_culturatus,Niviventer culturatus
120,Notomys_alexis,Notomys alexis
121,Notomys_cervinus,Notomys cervinus
122,Notomys_fuscus,Notomys fuscus
123,Notomys_mitchellii,Notomys mitchellii
124,Nyctophilus_timoriensis,Nyctophilus timoriensis
125,Ochotona_curzoniae,Ochotona curzoniae
126,Odocoileus_virginianus,Odocoileus virginianus
127,Ondatra_zibethicus,Ondatra zibethicus
128,Oryctolagus_cuniculus,Oryctolagus cuniculus
129,Oryzomys_palustris,Oryzomys palustris
130,Ovis_aries,Ovis aries
131,Pan_paniscus,Pan paniscus
132,Pan_troglodytes,Pan troglodytes
133,Panthera_leo,Panthera leo
134,Papio_anubis,Papio anubis
135,Papio_cynocephalus,Papio cynocephalus
136,Paruromys_dominator,Paruromys dominator
137,Pecari_tajacu,Pecari tajacu
138,Peromyscus_californicus,Peromyscus californicus
139,Peromyscus_leucopus,Peromyscus leucopus
140,Peromyscus_maniculatus,Peromyscus maniculatus
141,Petaurista_petaurista,Petaurista petaurista
142,Phodopus_sungorus,Phodopus sungorus
143,Pipistrellus_subflavus,Pipistrellus subflavus
144,Pogonomys_loriae,Pogonomys loriae
145,Pogonomys_macrourus,Pogonomys macrourus
146,Pongo_pygmaeus,Pongo pygmaeus
147,Praomys_jacksoni,Praomys jacksoni
148,Procyon_lotor,Procyon lotor
149,Pseudomys_apodemoides,Pseudomys apodemoides
150,Pseudomys_australis,Pseudomys australis
151,Pseudomys_delicatulus,Pseudomys delicatulus
152,Pseudomys_desertor,Pseudomys desertor
153,Pseudomys_fumeus,Pseudomys fumeus
154,Pseudomys_gracilicaudatus,Pseudomys gracilicaudatus
155,Pseudomys_hermannsburgensis,Pseudomys hermannsburgensis
156,Pseudomys_nanus,Pseudomys nanus
157,Pseudomys_novaehollandiae,Pseudomys novaehollandiae
158,Pseudomys_pilligaensis,Pseudomys pilligaensis
159,Pseudomys_shortridgei,Pseudomys shortridgei
160,Pteropus_alecto,Pteropus alecto
161,Pteropus_poliocephalus,Pteropus poliocephalus
162,Pteropus_scapulatus,Pteropus scapulatus
163,Rangifer_tarandus,Rangifer tarandus
164,Rattus_argentiventer,Rattus argentiventer
165,Rattus_colletti,Rattus colletti
166,Rattus_exulans,Rattus exulans
167,Rattus_fuscipes,Rattus fuscipes
168,Rattus_leucopus,Rattus leucopus
169,Rattus_losea,Rattus losea
170,Rattus_lutreolus,Rattus lutreolus
171,Rattus_niobe,Rattus niobe
172,Rattus_norvegicus,Rattus norvegicus
173,Rattus_rattus,Rattus rattus
174,Rattus_sordidus,Rattus sordidus
175,Rattus_steini,Rattus steini
176,Rattus_tiomanicus,Rattus tiomanicus
177,Rattus_tunneyi,Rattus tunneyi
178,Rattus_villosissimus,Rattus villosissimus
179,Rhabdomys_pumilio,Rhabdomys pumilio
180,Saimiri_sciureus,Saimiri sciureus
181,Sciurus_anomalus,Sciurus anomalus
182,Sciurus_carolinensis,Sciurus carolinensis
183,Sciurus_niger,Sciurus niger
184,Sciurus_vulgaris,Sciurus vulgaris
185,Semnopithecus_entellus,Semnopithecus entellus
186,Sigmodon_hispidus,Sigmodon hispidus
187,Sorex_araneus,Sorex araneus
188,Otospermophilus_beecheyi,Otospermophilus beecheyi
189,Urocitellus_beldingi,Urocitellus beldingi
190,Urocitellus_richardsonii,Urocitellus richardsonii
191,Sundamys_muelleri,Sundamys muelleri
192,Suricata_suricatta,Suricata suricatta
193,Sus_scrofa,Sus scrofa
194,Tamias_amoenus,Tamias amoenus
195,Tamiasciurus_hudsonicus,Tamiasciurus hudsonicus
196,Theropithecus_gelada,Theropithecus gelada
197,Tokudaia_osimensis,Tokudaia osimensis
198,Tragelaphus_strepsiceros,Tragelaphus strepsiceros
199,Uranomys_ruddi,Uranomys ruddi
200,Urocyon_cinereoargenteus,Urocyon cinereoargenteus
201,Uromys_anak,Uromys anak
202,Uromys_caudimaculatus,Uromys caudimaculatus
203,Ursus_americanus,Ursus americanus
204,Ursus_arctos,Ursus arctos
205,Vulpes_lagopus,Vulpes lagopus
206,Vulpes_vulpes,Vulpes vulpes
207,Xenuromys_barbatus,Xenuromys barbatus
208,Xerus_erythropus,Xerus erythropus
209,Xerus_inauris,Xerus inauris
210,Zyzomys_argurus,Zyzomys argurus
