,order,family,common_name,Binomial,BM_g,source_BM,testes_g,source_testes,rel_testes_size,LG,LY,LS,source_lifehistory,paternal_care,source_paternal_care,mating_system,source_MS,litters_or_clutches_per_y,inter_litter_or_interbirth_interval_y,longevity_y,litter_or_clutch_size_n,litters_or_clutches_per_y,inter_litter_or_interbirth_interval_y
1,Rodentia,Muridae,Papuan Abeomelomys,Abeomelomys_sevia,52,BT,0.854,BT,NA,NA,NA,1,Cap15,,,NA,,-999,-999,NA,1,-999,-999
2,Rodentia,Muridae,Northeast African Spiny Mouse,Acomys_cahirinus,27,BT,0.224,BT,NA,5.9,7.6,2.43,Cap15,no,LH19; Held19,promiscuous,Sin20,3.5,0.093086927,5.45,2.47,3.5,0.093086927
3,Artiodactyla,Bovidae,Impala,Aepyceros_melampus,62500,GF03,120,GF03,NA,25.6,0.95,0.98,Cap15,no,LH19; Held19,NA,,1,0.999315537,17.75,1,1,0.999315537
4,Rodentia,Muridae,Red Veld Aethomys,Aethomys_chrysophilus,85,BT,0.862,BT,NA,0.75,NA,3.09,Cap15; Myrhvold et al 2015,,,NA,,-999,-999,0.75,3.345,-999,-999
5,Rodentia,Muridae,Hinde's Aethomys,Aethomys_hindei,143,BT,2.768,BT,NA,1.75,NA,2.05,Cap15; Myrhvold et al 2015,,,NA,,-999,-999,1.745833333,2.9,-999,-999
6,Rodentia,Muridae,Tete Veld Aethomys,Aethomys_ineptus,140,BT,0.72,BT,NA,0.75,2,2.7,Cap15; Chimimba & Linzey 2008; Myrhvold et al 2015,,,NA,,-999,-999,0.75,3.345,-999,-999
7,Artiodactyla,Bovidae,Hartebeest,Alcelaphus_buselaphus,132000,GF03,107,GF03,NA,22.5,1.065,1,Cap15; Myrhvold et al 2015,no,Held19,NA,,1.065,0.972621492,20,1,1.065,0.972621492
8,Artiodactyla,Cervidae,Eurasian Elk,Alces_alces,789000,GF03,106,GF03,NA,27,1.7,1.25,Cap15,no,LH19; Held19,monogamous,Ballenberghe & Miquelle 1993,1.235,0.999315537,27,1.29,1.235,0.999315537
9,Rodentia,Sciuridae,White-tailed Antelope Squirrel,Ammospermophilus_leucurus,111.1,squirrel,NA,NA,2.24,11.2,1.25,8,Cap15,no,Held19,promiscuous,Sin20,1.315,-999,5.833333333,8,1.315,-999
10,Rodentia,Muridae,Uneven-toothed Rat,Anisomys_imitator,508,BT,4.167,BT,NA,NA,NA,NA,NA,,,NA,,-999,-999,NA,-999,-999,-999
11,Chiroptera,Vespertilionidae,Pallid Bat,Antrozous_pallidus,23,GF03,0.1812,GF03,NA,14.8,NA,1.78,Cap15,no,LH19,NA,,-999,-999,9.1,2,-999,-999
12,Rodentia,Muridae,Striped Field Mouse,Apodemus_agrarius,35,BT,1.232,BT,NA,4,3.5,5.64,Cap15,,,promiscuous,Sin20,3.335,0.05338809,4,5.68,3.335,0.05338809
13,Rodentia,Muridae,Striped Field Mouse,Apodemus_agrarius,21.8,GF03; Souls,0.994,GF03; Souls,NA,4,3.5,5.64,Cap15,,,promiscuous,Sin20,3.335,0.05338809,4,5.68,3.335,0.05338809
14,Rodentia,Muridae,Small Japanese Field Mouse,Apodemus_argenteus,21,BT,0.651,BT,NA,5,3.8,4.12,Cap15; Myrhvold et al 2015,,,promiscuous/monogamous,Sin20,3.8,0.112635181,4.695833333,5.16,3.8,0.112635181
15,Rodentia,Muridae,Yellow-necked Field Mouse,Apodemus_flavicollis,29.1,BT; GF03; Souls,0.891,BT; GF03; Souls,NA,4.5,3,4.94,Cap15,,,promiscuous,Sin20,2.8,0.106433949,4.245833333,5.5,2.8,0.106433949
16,Rodentia,Muridae,Taiwan Field Mouse,Apodemus_semotus,28,BT,1.378,BT,NA,4.4,3.8,3.56,Cap15; Myrhvold et al 2015,,,NA,,3.8,0.112635181,4.4,5.17,3.8,0.112635181
17,Rodentia,Muridae,Large Japanese Field Mouse,Apodemus_speciosus,46,BT,1.233,BT,NA,5.3,NA,4.47,Cap15,,,promiscuous,Sin20,-999,-999,5.3,4.47,-999,-999
18,Rodentia,Muridae,Long-tailed Field Mouse,Apodemus_sylvaticus,23.1,BT; GF03; Souls,0.788,BT; GF03; Souls,NA,6.3,3.75,5.16,Cap15,no,LH19,promiscuous,Souls; Sin20,3.8,0.112635181,4.4,5.18,3.8,0.112635181
19,Rodentia,Muridae,Herb Field Mouse,Apodemus_uralensis,19.2,Souls,0.326,Souls,NA,4.4,3.8,5.72,Cap15; Myrhvold et al 2015,,,promiscuous,Souls; Sin20,3.8,0.112635181,,5.2,3.8,0.112635181
20,Rodentia,Sciuridae,Barbary Ground Squirrel,Atlantoxerus_getulus,221.1,Marel,6.46,Anjos,3.03,5,1,2.9,Cap15,no,"van der Marel, pers. comm.",promiscuous,"van der Marel, pers. comm.",-999,-999,8.283333333,-999,-999,-999
21,Rodentia,Muridae,Lesser Bandicoot Rat,Bandicota_bengalensis,289,BT,2.121,BT,NA,NA,5.9,7.29,Cap15,,,NA,,5.9,0.169472964,-999,7.625,5.9,0.169472964
22,Rodentia,Muridae,Greater Bandicoot Rat,Bandicota_indica,613,BT,2.035,BT,NA,4.2,5.1228,6.12,Myrhvold et al. 2015,,,NA,,4.015,0.098562628,4.2,6.12,4.015,0.098562628
23,Rodentia,Muridae,Savile's Bandicoot Rat,Bandicota_savilei,274,BT,1.263,BT,NA,NA,NA,NA,,,,NA,,-999,-999,-999,-999,-999,-999
24,Rodentia,Muridae,Mindanao Batomys,Batomys_salomonseni,194,BT,1.556,BT,NA,NA,NA,NA,,,,NA,,-999,-999,-999,-999,-999,-999
25,Rodentia,Muridae,Bower's Berylmys,Berylmys_bowersi,431,BT,14.431,BT,NA,2.9,NA,3.88,Cap15,,,NA,,-999,-999,2.9,3.88,-999,-999
26,Artiodactyla,Bovidae,Aurochs,Bos_taurus,630400,GF03,681,GF03,NA,20,1,1,Cap15,no,Held19,NA,,1,1,20,1,1,1
27,Rodentia,Muridae,Mindanao Bullimus,Bullimus_bagobus,380,BT,4.08,BT,NA,NA,NA,NA,,,,NA,,-999,-999,-999,-999,-999,-999
28,Rodentia,Muridae,Common Bunomys,Bunomys_chrysocomus,117,BT,3.523,BT,NA,NA,NA,NA,,,,NA,,-999,-999,-999,-999,-999,-999
29,Rodentia,Muridae,Northeastern Peninsula Bunomys,Bunomys_fratrorum,137,BT,0.407,BT,NA,NA,NA,NA,,,,NA,,-999,-999,-999,-999,-999,-999
30,Primates,Cebidae,Common Marmoset,Callithrix_jacchus,320,GF03,1.3,GF03,NA,22.8,2,2.31,Cap15,yes,LH19; Held19,monogamous,Lupold2014,2,0.450102669,16.25,2.24,2,0.450102669
31,Carnivora,Otariidae,Northern Fur Seal,Callorhinus_ursinus,29000,GF03,63.6,GF03,NA,30,0.5,1.04,Cap15,no,LH19; Held19,monogamous,Kiyota et al. 2008,0.695,0.999315537,26,1,0.695,0.999315537
32,Carnivora,Canidae,Coyote,Canis_latrans,10600,Souls,15.4,Souls,NA,21.8,1,5.72,Cap15,yes,LH19; Held19,monogamous,Souls,1,0.999315537,21.79583333,5.605,1,0.999315537
33,Artiodactyla,Cervidae,European Roe,Capreolus_capreolus,20500,Souls,45,Souls,NA,17.5,1,1.79,Cap15,no,LH19; Held19,polygynous,Souls,1.05,0.999315537,17.23333333,1.785,1.05,0.999315537
34,Rodentia,Caviidae,Brazilian Guinea Pig,Cavia_aperea,567,Souls,3.73,Souls,NA,6,5,2.14,Cap15,no,LH19; Held19; Sin20,polygynous,Souls; Sin20,5,-999,6,2.48,5,-999
35,Rodentia,Caviidae,Domesticated Guinea Pig,Cavia_porcellus,813,GF03,4.1,GF03,NA,14.8,5,3.45,Cap15,no,LH19,polygynous,Sin20,5,0.262833676,12,3.45,5,0.262833676
36,Primates,Cebidae,Tufted Capuchin,Cebus_apella,2600,GF03,9.1,GF03,NA,46,0.55,1.05,Cap15,yes,LH19; Held19,promiscuous,Lupold2014,0.6,1.817932923,45.08333333,1.05,0.6,1.817932923
